File Name,MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12
228s26,-491.77078,165.81235,43.092175,4.021847,-6.9455423,5.227113,-9.371843,-11.493311,-8.6362,-2.165004,-4.819674,-2.8650136,-3.4674103
113s2,-476.14053,166.28316,34.467205,21.163742,-16.145496,-3.098312,-0.05212367,0.2933361,-12.048246,-3.2452343,-5.5102577,1.8205222,-7.0258145
178s4,-407.6944,154.16866,21.196535,15.288516,-9.341597,3.1000602,-9.93861,-10.412724,-6.3447003,-5.2201686,-3.5840218,-5.119372,-8.674127
269s4,-423.13852,143.30862,0.14086711,48.51538,-21.097986,16.133327,-32.48312,6.4495206,-5.3885727,-5.953022,-12.64158,-5.316859,-5.3610573
211s20,-445.9921,152.92648,27.350933,24.396477,-10.201638,4.833405,-13.821351,-7.864855,-4.734364,-6.369569,-4.5418224,-1.0610907,-7.8540616
184s7,-373.55594,146.2876,6.7653027,21.484821,-0.9521727,-2.9083877,-14.156977,-9.469728,-14.165234,-1.3992175,-15.235527,-5.3377495,-10.881831
252s2,-437.53275,152.19626,21.969654,7.595122,-3.882919,-3.5039186,-18.662636,-3.2774475,-13.873595,-10.160618,-12.043527,-3.1683774,-11.056909
228s27,-518.516,186.30319,30.067684,28.708359,-21.019003,16.101755,-15.270735,-17.978083,-3.0847092,-5.410801,-3.2289004,-5.6250124,-5.0115867
117s14,-1131.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235s8,-345.01172,156.30748,-5.018816,15.83896,3.2226806,-2.5592754,-25.665806,-14.7106905,-6.209937,-9.339976,-11.8576975,-5.2618318,-7.508447
104s29,-553.717,211.29869,10.344763,34.717686,-28.955954,13.183405,-6.238595,-0.7973976,-0.95162857,-8.355236,-0.12910983,-5.763771,2.5688996
166s30,-422.7794,167.04749,27.119904,11.630257,-11.570519,12.213316,-15.321948,-14.329863,-8.57457,-7.7561913,-8.948188,-0.72672784,-11.4706745
143s7,-425.78198,159.26218,25.586548,15.954429,-11.822835,13.4324875,-8.6458435,-17.026579,-3.7152448,-5.337269,-11.172707,1.0299101,-13.700105
221s15,-475.69937,158.6507,24.80303,3.212704,-9.107474,3.3642035,-10.295133,-16.818665,-5.2770863,-5.6611958,-5.5303583,-4.8264,-5.793111
151s25,-560.23883,198.43568,29.00695,28.174677,-21.443651,13.108695,-12.714295,-8.786035,3.2015076,0.02563017,2.5161421,-5.0051813,-3.6587985
184s2,-414.5138,145.86272,19.467924,20.730667,-6.6053553,1.1096323,-14.223085,-11.495428,-7.623699,-0.28393155,-11.644242,-4.2824984,-13.859084
144s3,-486.0271,163.46944,28.363274,7.7186956,-0.29224262,1.1630534,-9.679749,-7.3819776,-10.206737,-2.2205606,-7.9120474,-1.5859485,-10.74418
270s7,-421.1604,155.80382,29.765709,2.3376346,-6.8290706,3.0079496,-17.850624,-15.613742,-9.402686,-6.7031393,-8.322433,-1.7756492,-11.674538
242s17,-291.26947,162.8042,-26.252127,32.697754,-8.801392,-10.562618,-3.89833,-23.46723,-15.81256,-1.1901157,-17.51484,-7.2848077,-8.361277
161s4,-354.84705,150.74503,16.416893,8.915849,1.5121905,8.226615,-25.687523,-12.278325,-7.6395206,-10.688791,-10.072298,-4.0102987,-7.068971
204s3,-411.7364,152.31526,26.04546,10.203713,-11.771911,6.629652,-10.706317,-17.112988,0.23516169,-5.7825785,-8.410634,-4.282065,-8.919774
125s4,-409.37857,133.47699,20.61033,13.31458,-15.033185,7.395352,-13.232825,-12.145788,1.3651018,-8.993922,-6.8585796,-6.0869956,-9.15688
227s10,-423.45746,182.69992,-1.4700111,37.41991,-11.775439,-3.220049,-19.444918,-14.9216,-9.995392,5.4795895,-18.51932,-10.221103,-2.9658685
110s32,-346.60568,149.7314,-8.88056,22.21798,2.3864994,-3.942501,-11.112461,-26.53479,-11.4518585,-2.4954307,-15.470262,-5.6611295,-4.8599377
131s17,-431.1207,164.77293,14.182994,28.669579,-20.206812,-2.9282556,-20.271498,-7.42464,-3.6390054,-17.92325,-6.139972,-9.574677,-12.983559
201s26,-386.74484,165.46689,16.385132,13.086568,-5.251135,1.2116401,-8.191707,-25.40742,-9.071075,-3.2455769,-12.617115,-4.2355466,-5.108422
155s9,-356.0548,156.47719,14.463032,20.561396,-0.86170167,-3.0275152,-23.558756,-20.710407,-9.410945,-10.08014,-19.817364,0.5176086,-7.0334506
113s5,-542.9187,184.29477,26.436136,12.092896,-27.448425,11.836346,-8.578858,4.7598214,-16.173622,1.2926663,-12.7018385,0.32263985,-3.9458213
284s8,-425.53717,166.7636,23.43001,-3.5308797,-15.055463,-3.9695437,-9.97861,-15.318238,-8.100465,-6.843732,-10.726333,-4.4678874,-5.980786
140s28,-1131.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169s30,-424.91718,154.47588,12.535852,23.78598,-5.0311246,4.6667953,-14.363087,-10.115968,-11.190026,-2.627869,-9.21535,-7.1316166,-9.628707
201s14,-449.14282,176.00797,17.730448,3.647278,-7.143113,4.384333,-10.642931,-17.638445,-6.496447,-3.3295205,-8.149968,-6.201563,-5.357741
219s26,-360.38287,152.56973,11.858044,13.502609,-9.084904,6.634559,-18.954247,-9.019822,-9.9888,-7.050288,-11.187631,-2.0998702,-5.525102
223s1,-432.6566,168.30609,17.639486,2.1272361,-6.6624513,16.355848,-18.52751,-13.757858,-11.893664,3.0590658,-25.570538,0.7073393,-2.8615692
219s32,-381.65082,152.95215,23.248297,9.963903,-9.161036,15.687007,-22.008987,-12.497915,-11.961762,-2.2557187,-13.244885,-3.2149189,-4.55534
105s15,-373.20355,162.63675,8.010049,19.960026,-4.9952397,-4.9329906,-9.674108,-23.607012,-12.7389,-3.931445,-10.119729,-3.4043832,-15.526505
257s14,-505.35315,159.98633,42.385952,4.8177047,-9.379204,4.9290214,-6.098097,-7.920836,-8.328657,-3.3260572,-8.636991,-4.6765423,-7.7657623
137s42,-464.4171,142.063,28.724445,19.679361,-20.63452,12.826018,-8.424688,-17.137222,1.157116,-4.6936398,-11.039944,-2.4441888,-2.0681567
160s8,-378.3088,159.62296,17.187607,15.571451,2.5754786,3.9266775,-24.776943,-16.069025,-7.932189,-9.829697,-8.299017,-4.223677,-10.069707
274s29,-518.9579,182.23569,19.38736,27.090193,-22.382507,8.824986,-10.608295,-20.544928,-3.943975,-10.203484,-2.681188,-14.693007,-5.867587
251s13,-480.84674,183.1399,23.908617,7.031127,-6.3285513,7.818107,-8.185986,-11.296925,-3.7485166,-1.2206283,-5.1071754,-8.912143,-1.2788969
131s16,-488.98108,148.61626,43.21046,15.823563,-7.317143,1.6488545,-16.183968,-6.5297184,-6.981114,-11.615829,-4.6361694,-4.8049693,-5.968922
276s11,-468.33542,147.21219,42.997467,14.118257,-10.597889,5.221876,-17.983418,-5.994579,-6.5693855,-9.73816,-7.828364,-3.673846,-8.639753
143s10,-410.96942,141.46146,24.832207,25.702242,-11.8016405,6.6122985,-11.364514,-12.129245,-8.179283,-1.3642354,-12.00313,-1.0109024,-8.880502
283s3,-370.04517,183.36282,-28.139015,33.64785,-36.168983,9.662877,-28.23401,-5.768245,-15.898648,2.9512057,-17.629383,-0.29568827,-13.269117
276s36,-373.8677,153.72362,-4.7849245,28.63156,-2.3394117,-8.254336,-19.554573,-20.083944,-2.9263878,-12.967889,-13.333249,-0.3323854,-14.781885
236s16,-492.66986,189.85089,19.390995,16.544724,-20.600388,16.551685,-8.310999,-14.549123,-3.435152,-8.225317,-6.896199,3.429743,-6.0128016
121s14,-399.55603,144.46758,31.22652,19.856073,-24.522182,-6.398463,-11.2776785,-14.521764,-1.2760928,-8.506954,-8.108551,-6.556863,-9.329455
