File Name,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13
228_s26,3610.552978515625,85406680.0,7465704448.0,-38599798784.0,95066857472.0,-152753422336.0,177800019968.0,-153806962688.0,96520617984.0,-39693905920.0,7930982912.0,-1114832.75,-0.3026919662952423
113_s2,-0.7131063342094421,-20.082199096679688,79.2608413696289,-153.7327880859375,185.38363647460938,-130.6555938720703,7.843910217285156,111.12841033935547,-159.1623077392578,127.02598571777344,-61.44070053100586,14.483062744140625,-0.3359672725200653
178_s4,706.3006591796875,-626852032.0,37592375296.0,-185370443776.0,443235041280.0,-686521188352.0,781705281536.0,-680607285248.0,434585436160.0,-178401312768.0,34428768256.0,-52286.70703125,0.17078058421611786
269_s4,-3.0153181552886963,5.539718151092529,-8.674904823303223,11.423008918762207,-13.284317016601562,14.111733436584473,-13.491601943969727,11.54381275177002,-8.877861976623535,5.91471529006958,-3.2615232467651367,1.4619979858398438,-0.3761134445667267
211_s20,-7.598633766174316,4014.27783203125,-12959.2294921875,17363.92578125,-10302.83984375,-8388.2939453125,30379.021484375,-40897.16015625,35953.46484375,-21143.525390625,6325.02685546875,-319.52716064453125,0.07969542592763901
184_s7,-11.348127365112305,3690.733642578125,-6961.033203125,-6613.650390625,28971.939453125,-32895.3046875,25114.306640625,-30886.041015625,40359.42578125,-29056.49609375,8496.455078125,-181.43214416503906,-0.384004145860672
252_s2,-2.9417524337768555,4.575716018676758,-6.359883785247803,8.279702186584473,-9.589649200439453,10.147344589233398,-9.72126579284668,8.37630558013916,-6.511909008026123,4.554716110229492,-2.865154504776001,1.444765567779541,-0.38170474767684937
228_s27,-6.1768317222595215,398.4975280761719,-2508.67724609375,7363.2373046875,-13835.986328125,19129.404296875,-20519.90625,17245.212890625,-11129.078125,5165.37353515625,-1514.873291015625,213.75302124023438,-1.9531077146530151
117_s14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235_s8,-131.39796447753906,5372527.0,-28317784.0,74733976.0,-133160432.0,177884256.0,-184668352.0,148675360.0,-89249816.0,35985872.0,-7386769.0,129899.921875,-0.8145197629928589
104_s29,1444.5753173828125,-59969.5,329150.15625,-929219.25,1759026.25,-2492576.75,2771642.0,-2448934.0,1693962.375,-871541.0625,296044.3125,-49043.671875,-2.7406504154205322
166_s30,49.11195755004883,1430.634033203125,-8723.58984375,24108.9296875,-43683.78125,59126.5,-62333.01953125,51467.6640625,-32539.826171875,14495.3740234375,-3754.59326171875,355.6813659667969,-0.40371108055114746
143_s7,-148.487548828125,553045.75,16189207.0,-117757190144.0,517644320768.0,-1000275509248.0,1101039271936.0,-715148623872.0,245629108224.0,-31082483712.0,-68877248.0,22459.05859375,-1.1863198280334473
221_s15,2988.023193359375,-1529480.25,-515649376.0,2162709504.0,-4254768128.0,5439479808.0,-5015430656.0,3233496832.0,-1146289920.0,-25610056.0,123459408.0,125952.296875,6.3413777351379395
151_s25,0.5855073928833008,-23.495849609375,93.1658706665039,-216.9832000732422,366.70806884765625,-483.2384338378906,511.07879638671875,-436.359130859375,296.5049743652344,-154.16781616210938,55.455413818359375,-10.412753105163574,0.15465910732746124
